yelp_name,yelp_latitude,yelp_longitude,city_bike_latitude,city_bike_longitude,yelp_distance (m),yelp_rating,yelp_review_count,yelp_price
Capucine,45.6196699281717,-73.6097039384337,45.61749978312808,-73.60601127147675,375.1109995539719,5.0,4,
Restaurant Prima Luna,45.617234,-73.594176,45.61749978312808,-73.60601127147675,920.9606954257877,4.0,14,$$$
Boulangerie Adriatica,45.61521,-73.60971,45.61749978312808,-73.60601127147675,365.54278795354594,4.0,1,
Grillades Sizzle,45.62398,-73.60103,45.61749978312808,-73.60601127147675,808.7412450707367,3.5,3,$$
Shekz Restaurant,45.62356,-73.6015,45.61749978312808,-73.60601127147675,748.7847338093601,1.5,2,
Dagostino Pizza,45.62479,-73.59907,45.61749978312808,-73.60601127147675,975.918228706879,4.5,3,
Tim Hortons,45.6263,-73.59795,45.61749978312808,-73.60601127147675,1165.6244356833142,1.0,3,
Pizzeria Etc (La),45.6172299,-73.5938069,45.61749978312808,-73.60601127147675,956.3446666700872,4.5,2,$$
L'Amère à Boire,45.51642,-73.566042,45.516926210319546,-73.56425732374191,150.01259913299967,4.0,68,$$
Le Saint-Bock,45.5158203,-73.564641,45.516926210319546,-73.56425732374191,126.55291295762142,4.0,209,$$
Pizzeria Dei Compari,45.515,-73.56375,45.516926210319546,-73.56425732374191,219.9437449583081,4.0,90,$$
La Demande Générale,45.5175399,-73.56822,45.516926210319546,-73.56425732374191,317.75503535196384,4.5,65,$$
Bouillon Bilk,45.51104,-73.5658,45.516926210319546,-73.56425732374191,663.2137265493847,4.5,498,$$$
Poutineville,45.523205,-73.5613,45.516926210319546,-73.56425732374191,735.2045508324642,4.5,600,$$
Les Deux Gamins,45.51545,-73.57095,45.516926210319546,-73.56425732374191,546.8489417889465,4.0,595,$$
Randolph Pub Ludique,45.5164298,-73.5660051,45.516926210319546,-73.56425732374191,146.93874545198923,4.5,96,$$
Le Mousso,45.52006,-73.56322,45.516926210319546,-73.56425732374191,351.96633559173364,4.5,54,$$$$
La Fabrique,45.51811,-73.56943,45.516926210319546,-73.56425732374191,428.88922399110714,4.0,111,$$$
Arepera,45.514992,-73.572048,45.516926210319546,-73.56425732374191,643.9892984568851,4.5,329,$$
Onoir,45.515126,-73.571424,45.516926210319546,-73.56425732374191,593.1888826231567,4.5,122,$$$
Le Cheval Blanc,45.51818786169083,-73.56426330319171,45.516926210319546,-73.56425732374191,140.28984963764958,4.0,53,$$
Au Pied de Cochon,45.522169,-73.57445,45.516926210319546,-73.56425732374191,985.1267085132862,4.0,1383,$$$
Acajou Br,45.51743,-73.56797,45.516926210319546,-73.56425732374191,296.0483272940898,4.0,64,$$
L'Express,45.52032,-73.57437,45.516926210319546,-73.56425732374191,875.7838167008706,4.0,672,$$$
Resto Végo,45.515505,-73.564665,45.516926210319546,-73.56425732374191,161.19187029701118,4.0,85,$$
O'Thym,45.518377,-73.558126,45.516926210319546,-73.56425732374191,504.2133351031009,4.5,169,$$$
Le Club Chasse et Pêche,45.50893,-73.55241,45.516926210319546,-73.56425732374191,1275.9316503340274,4.5,234,$$$$
Juliette & Chocolat,45.51500120128985,-73.56277965889556,45.516926210319546,-73.56425732374191,243.0501847995878,4.0,229,$$
Birreria Itali.co,45.4978966455496,-73.705443738479,45.506175841460966,-73.71118605136871,1023.6159759406526,3.5,45,$$
Allô! Mon Coco,45.498395,-73.707833,45.506175841460966,-73.71118605136871,903.791565600095,3.5,21,$$
La Piazza,45.5134840895922,-73.7117132050744,45.506175841460966,-73.71118605136871,813.6767670745136,4.0,4,
Rôtisserie Scores,45.4972531,-73.7042535,45.506175841460966,-73.71118605136871,1129.7338807869626,2.5,28,$$
FreshMTL,45.4970093,-73.7046967,45.506175841460966,-73.71118605136871,883.060540545227,5.0,1,
Place Tevere,45.4970093,-73.7046967,45.506175841460966,-73.71118605136871,918.0286830171347,4.0,3,$
Tiki Ming,45.4980677711055,-73.7038904428482,45.506175841460966,-73.71118605136871,1065.889777172275,2.5,5,$
Tim Hortons,45.49860803932409,-73.70689954316742,45.506175841460966,-73.71118605136871,905.3852201512024,3.0,5,
Pannizza,45.4986727966213,-73.7074916497963,45.506175841460966,-73.71118605136871,882.5835293015864,2.0,1,$
DBurger,45.3744944,-73.9922680951479,45.506175841460966,-73.71118605136871,26368.946922893898,2.5,3,
Grillades Torino,45.498704,-73.706164,45.506175841460966,-73.71118605136871,918.4028224727334,2.5,3,
Aqua Lunch,45.49701,-73.7047,45.506175841460966,-73.71118605136871,918.0286830171347,2.5,3,$$
McDonald's,45.498768,-73.706476,45.506175841460966,-73.71118605136871,901.8019398224702,2.5,6,$
Thaï Express,45.4985917864335,-73.7061927838533,45.506175841460966,-73.71118605136871,928.7638431057103,2.0,1,
Mario's Pizzeria,45.513492,-73.721104,45.506175841460966,-73.71118605136871,1122.0971041510202,2.5,6,$$
Restaurant Deli Bourassa,45.6073265,-73.6173927,45.506175841460966,-73.71118605136871,1120.3514332492855,3.5,2,
Pizza 7 Etoiles,45.6073265,-73.6173927,45.506175841460966,-73.71118605136871,1120.3514332492855,4.0,1,
Gaufres & Glaces,45.49701,-73.7047,45.506175841460966,-73.71118605136871,918.0286830171347,3.5,2,
Fabrika,45.4970093,-73.7046967,45.506175841460966,-73.71118605136871,918.0286830171347,3.0,1,
Yori Sushi,45.60827,-73.61649,45.506175841460966,-73.71118605136871,1188.4637188117495,1.0,1,$$
Kyoto,45.5127,-73.67946,45.5129938566323,-73.68249848484993,240.18180793448946,4.5,31,$$
Bol Orange,45.514177,-73.6822895,45.5129938566323,-73.68249848484993,132.56333183397402,4.5,62,$$
Dolci Piu,45.51236,-73.67917,45.5129938566323,-73.68249848484993,258.3073971982471,4.5,40,$$
Pho Moderne,45.5123997586567,-73.6802011347492,45.5129938566323,-73.68249848484993,190.8096491365498,4.0,45,$$
Ave Seoul,45.5128093,-73.6803233,45.5129938566323,-73.68249848484993,170.72741146972427,4.0,42,$$
Restaurant Yi Pin Xiang,45.51123,-73.6774,45.5129938566323,-73.68249848484993,440.14979305321714,4.0,31,$$
Décarie Hot Dogs,45.51365,-73.68147,45.5129938566323,-73.68249848484993,105.23323352178782,4.0,99,$
Maison Mignon,45.512144,-73.677381,45.5129938566323,-73.68249848484993,409.79939711782254,4.5,49,$
Elounda,45.510577,-73.687021,45.5129938566323,-73.68249848484993,443.17906164817276,4.0,39,$$$
Sawadika,45.5103099,-73.68676,45.5129938566323,-73.68249848484993,431.5300247923794,3.5,37,$$
Chez Yanna,45.512414619355866,-73.68013269386554,45.5129938566323,-73.68249848484993,195.27017573259417,4.5,4,
Vinh Hing,45.51354,-73.68112,45.5129938566323,-73.68249848484993,115.247605757071,4.5,10,$
Mon Ami,45.51128,-73.67758,45.5129938566323,-73.68249848484993,428.01807051560314,3.5,21,
Il Boccalini,45.51217,-73.67711,45.5129938566323,-73.68249848484993,424.2776712459004,4.0,12,$$
Kuljit India,45.512423,-73.692981,45.5129938566323,-73.68249848484993,819.2590430889175,4.0,33,$$
Chez Khady,45.5121,-73.679789,45.5129938566323,-73.68249848484993,233.34924587880437,4.0,7,$$
District 961,45.51040614472581,-73.68679067863046,45.5129938566323,-73.68249848484993,441.1953235639151,4.0,9,
Restaurant Kam DO,45.51396,-73.68205,45.5129938566323,-73.68249848484993,117.94129930336979,3.5,25,$$
Rasputin,45.5097734297728,-73.6752175894239,45.5129938566323,-73.68249848484993,670.8996197849251,4.0,11,$$$
Les Bourrelets Café,45.51273,-73.68074,45.5129938566323,-73.68249848484993,130.11532726631768,5.0,4,
Kuljit India,45.512423,-73.692981,45.51473429416659,-73.69144901633263,283.3729566657805,4.0,33,$$
Kyoto,45.5127,-73.67946,45.51473429416659,-73.69144901633263,963.0269938545332,4.5,31,$$
Bol Orange,45.514177,-73.6822895,45.51473429416659,-73.69144901633263,716.3714546258157,4.5,62,$$
Elounda,45.510577,-73.687021,45.51473429416659,-73.69144901633263,576.8356358764672,4.0,39,$$$
Ben & Florentine,45.512011,-73.6933818200989,45.51473429416659,-73.69144901633263,338.199059225873,3.5,37,$$
Lylac Café,45.5163135191179,-73.6962419664239,45.51473429416659,-73.69144901633263,412.6728427776571,4.5,20,
Trattoria la Villetta,45.51152,-73.6946,45.51473429416659,-73.69144901633263,282.0020690402237,3.0,10,$$
Dolci Piu,45.51236,-73.67917,45.51473429416659,-73.69144901633263,982.012313752937,4.5,40,$$
Pho Moderne,45.5123997586567,-73.6802011347492,45.51473429416659,-73.69144901633263,914.0559741250769,4.0,45,$$
Sawadika,45.5103099,-73.68676,45.51473429416659,-73.69144901633263,614.9286702298945,3.5,37,$$
Ottavio,45.5101248593694,-73.6897272265084,45.51473429416659,-73.69144901633263,529.8132723377995,3.5,29,$$
Ave Seoul,45.5128093,-73.6803233,45.51473429416659,-73.69144901633263,892.9329970351259,4.0,42,$$
Daou,45.5206579659323,-73.7040129328533,45.51473429416659,-73.69144901633263,1179.8690407036365,4.0,25,$$
Asie Moderne,45.51922,-73.6974,45.51473429416659,-73.69144901633263,685.9711258576706,4.0,18,$$
Décarie Hot Dogs,45.51365,-73.68147,45.51473429416659,-73.69144901633263,786.4469721919245,4.0,99,$
District 961,45.51040614472581,-73.68679067863046,45.51473429416659,-73.69144901633263,602.8031506870415,4.0,9,
YeSushi,45.5191299,-73.69826,45.51473429416659,-73.69144901633263,716.80610627373,5.0,9,
St-Hubert Express,45.512263942620905,-73.69263855398464,45.51473429416659,-73.69144901633263,291.1153148762331,2.0,8,$
Double Pizza,45.510474,-73.689909,45.51473429416659,-73.69144901633263,488.68458089291573,4.0,6,$$
Vinh Hing,45.51354,-73.68112,45.51473429416659,-73.69144901633263,806.8457865214513,4.5,10,$
Tong Por,45.527962,-73.721471,45.52234149817879,-73.72167885303497,625.180321730777,3.5,44,$$
Petinos,45.518301,-73.713544,45.52234149817879,-73.72167885303497,776.873867710188,4.0,32,$$
Fourchette Antillaise,45.527067,-73.713396,45.52234149817879,-73.72167885303497,832.1425021031105,4.5,13,$$
Ristorante Vino Rosso,45.52085,-73.71126,45.52234149817879,-73.72167885303497,844.7957131566753,4.5,7,
La Piazza,45.5134840895922,-73.7117132050744,45.52234149817879,-73.72167885303497,1254.1525584906633,4.0,4,
Le Cristal Chinois,45.52791,-73.721267,45.52234149817879,-73.72167885303497,620.0191668067231,3.5,12,
Copper Branch,45.51839180314621,-73.71251657058872,45.52234149817879,-73.72167885303497,838.1125105963464,5.0,2,
Peshawari Tikka,45.5271713,-73.7185223,45.52234149817879,-73.72167885303497,582.8559599515072,3.5,6,
San Fu,45.5273503601428,-73.7200458002966,45.52234149817879,-73.72167885303497,571.3043662412939,4.5,4,
Yuzu Sushi,45.5191121,-73.7127754,45.52234149817879,-73.72167885303497,781.1334279211707,4.0,1,
Dhaybi,45.5272686471416,-73.713031411171,45.52234149817879,-73.72167885303497,868.3240806127666,5.0,2,$
Benny&Co,45.53006472,-73.72317683,45.52234149817879,-73.72167885303497,866.6742653793624,2.5,2,$
Poulet Mankal,45.52708,-73.71914,45.52234149817879,-73.72167885303497,586.4469871486531,4.0,4,$
Pho Kim,45.52488965113693,-73.71310740087736,45.52234149817879,-73.72167885303497,725.3838822370217,5.0,1,
Pizza Pizza,45.5187137,-73.713089,45.52234149817879,-73.72167885303497,781.4029015549884,3.0,2,
Dairy Queen Ltd Brazier,45.526160796001946,-73.71421896301854,45.52234149817879,-73.72167885303497,719.7907827108368,3.0,2,
Ristorante Il Cenone,45.52921,-73.72472,45.52234149817879,-73.72167885303497,802.3779990616795,3.5,3,$$
Biryani & Co,45.52462,-73.71063,45.52234149817879,-73.72167885303497,894.9959134690588,3.5,3,
Mario's Pizzeria,45.513492,-73.721104,45.52234149817879,-73.72167885303497,985.0369694158456,2.5,6,$$
Restaurant Deli Bourassa,45.6073265,-73.6173927,45.52234149817879,-73.72167885303497,866.3366147416352,3.5,2,
Grill N Go,45.57517957747336,-73.6356221822089,45.566869345371856,-73.64101678133011,1014.9886467105893,4.0,30,$$
Boulangerie Pâtisserie Salerno,45.570879,-73.6398383,45.566869345371856,-73.64101678133011,455.19234508829277,5.0,7,$$
Zagrum,45.56862,-73.65336,45.566869345371856,-73.64101678133011,995.2936191515007,4.0,22,$$
Romina,45.5698,-73.64081,45.566869345371856,-73.64101678133011,326.4393688052506,5.0,2,
Andreamise,45.57381,-73.63745,45.566869345371856,-73.64101678133011,812.7979055809654,4.0,5,
Les Deux Copains,45.5726630823637,-73.6500528082252,45.566869345371856,-73.64101678133011,953.817998377384,4.0,7,
Cric Crac,45.57294,-73.62957,45.566869345371856,-73.64101678133011,1119.9548013760948,4.0,1,
McDonald's,45.5659656533781,-73.6468849049739,45.566869345371856,-73.64101678133011,467.72849839348663,2.5,4,$$
Napo,45.57446,-73.64805,45.566869345371856,-73.64101678133011,1011.7129608472438,5.0,1,
Restaurant Relax,45.56825,-73.65294,45.566869345371856,-73.64101678133011,945.8247081051335,5.0,1,
Épicerie Banh Mi Linh,45.5718002930076,-73.6507611744016,45.566869345371856,-73.64101678133011,935.9364874966624,2.0,2,
Restaurant La Piccola,45.57061,-73.65129,45.566869345371856,-73.64101678133011,908.8391005639122,4.0,1,$$
Hollé Pizza,45.56532,-73.64818,45.566869345371856,-73.64101678133011,573.3795195275037,3.0,1,
Le Jardin des Puits,45.573032,-73.649817,45.566869345371856,-73.64101678133011,968.9267420106326,2.0,1,
Cotto Crudo,45.57397224282445,-73.63194607055219,45.566869345371856,-73.64101678133011,1059.3951375098447,2.5,2,
Rebecca Pizza,45.57309,-73.62989,45.566869345371856,-73.64101678133011,1108.596985445557,2.0,1,
